operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,1
WRITE,BlockByBlockWithBufferedStream,50,10485760,0
WRITE,BlockByBlockWithBufferedStream,5,10485760,1
WRITE,ByteByByteWithBufferedStream,0,10485760,0
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,1
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,1
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,0
WRITE,ByteByByteWithoutBufferedStream,0,10485760,0
READ,BlockByBlockWithBufferedStream,500,10485760,13
READ,BlockByBlockWithBufferedStream,50,10485760,18
READ,BlockByBlockWithBufferedStream,5,10485760,30
READ,ByteByByteWithBufferedStream,0,10485760,60
READ,BlockByBlockWithoutBufferedStream,500,10485760,35
READ,BlockByBlockWithoutBufferedStream,50,10485760,299
READ,BlockByBlockWithoutBufferedStream,5,10485760,3084
READ,ByteByByteWithoutBufferedStream,0,10485760,14272
